market,report_date,availability_date,net_share
NASDAQ,2003-08-12,2003-08-20,0.055446051367620514
SP500,2003-08-12,2003-08-20,-0.097774642858697872
NASDAQ,2003-08-19,2003-08-27,0.036219721415343832
SP500,2003-08-19,2003-08-27,-0.052210630697266128
NASDAQ,2003-08-26,2003-09-03,0.041396939117438608
SP500,2003-08-26,2003-09-03,-0.070533383290222143
NASDAQ,2003-09-02,2003-09-10,0.0017167801513332539
SP500,2003-09-02,2003-09-10,-0.089489503411294746
NASDAQ,2003-09-09,2003-09-17,0.012502164908809638
SP500,2003-09-09,2003-09-17,-0.11514715358644986
NASDAQ,2003-09-16,2003-09-24,0.014884362888152099
SP500,2003-09-16,2003-09-24,-0.14081948978425529
NASDAQ,2003-09-23,2003-10-01,0.17746520745461639
SP500,2003-09-23,2003-10-01,-0.050483701395548482
NASDAQ,2003-09-30,2003-10-08,0.084357722542923633
SP500,2003-09-30,2003-10-08,-0.029216976732134529
NASDAQ,2003-10-07,2003-10-15,0.094237070153412747
SP500,2003-10-07,2003-10-15,-0.13597135383883738
NASDAQ,2003-10-14,2003-10-22,0.11827180962598137
SP500,2003-10-14,2003-10-22,-0.1905359281876787
NASDAQ,2003-10-21,2003-10-29,0.060118181818181821
SP500,2003-10-21,2003-10-29,-0.20771572111861217
NASDAQ,2003-10-28,2003-11-05,0.16523508045283511
SP500,2003-10-28,2003-11-05,-0.049923897800731948
NASDAQ,2003-11-04,2003-11-12,0.16727611008642285
SP500,2003-11-04,2003-11-12,-0.092698640694331577
NASDAQ,2003-11-11,2003-11-19,0.17988281104027623
SP500,2003-11-11,2003-11-19,-0.077740821490523096
NASDAQ,2003-11-18,2003-11-26,0.20250438640587146
SP500,2003-11-18,2003-11-26,-0.038610875526382801
NASDAQ,2003-11-25,2003-12-03,0.24867741078905978
SP500,2003-11-25,2003-12-03,-0.095797494542729608
NASDAQ,2003-12-02,2003-12-10,0.16597437065188372
SP500,2003-12-02,2003-12-10,-0.11117296398565177
NASDAQ,2003-12-09,2003-12-17,0.12568770155250497
SP500,2003-12-09,2003-12-17,-0.12002721530760503
NASDAQ,2003-12-16,2003-12-24,0.04227080641011613
SP500,2003-12-16,2003-12-24,-0.10177062001196706
NASDAQ,2003-12-22,2003-12-30,-0.046631705740642813
SP500,2003-12-22,2003-12-30,0.0072698833085967701
NASDAQ,2003-12-30,2004-01-07,-0.019264249489062146
SP500,2003-12-30,2004-01-07,-0.026321795359452262
NASDAQ,2004-01-06,2004-01-14,-0.014424225315411175
SP500,2004-01-06,2004-01-14,-0.053367388737620779
NASDAQ,2004-01-13,2004-01-21,0.16469473201824733
SP500,2004-01-13,2004-01-21,-0.12363369727894573
NASDAQ,2004-01-20,2004-01-28,0.1904016486020568
SP500,2004-01-20,2004-01-28,-0.10475208973219718
NASDAQ,2004-01-27,2004-02-04,0.20540946197712825
SP500,2004-01-27,2004-02-04,-0.089743270632578323
NASDAQ,2004-02-03,2004-02-11,0.11180490761341978
SP500,2004-02-03,2004-02-11,-0.022319451000326784
NASDAQ,2004-02-10,2004-02-18,0.065982005604560315
SP500,2004-02-10,2004-02-18,0.012800965805991153
NASDAQ,2004-02-17,2004-02-25,0.10134678040170136
SP500,2004-02-17,2004-02-25,-0.007182659806969199
NASDAQ,2004-02-24,2004-03-03,0.12819254653262852
SP500,2004-02-24,2004-03-03,0.00076567894083299213
NASDAQ,2004-03-02,2004-03-10,0.10385290437104944
SP500,2004-03-02,2004-03-10,-0.002633974396219472
NASDAQ,2004-03-09,2004-03-17,0.063215374366635046
SP500,2004-03-09,2004-03-17,-0.0068579141285326113
NASDAQ,2004-03-16,2004-03-24,0.027060510851549462
SP500,2004-03-16,2004-03-24,0.0067754986561041168
NASDAQ,2004-03-23,2004-03-31,-0.045408463986797126
SP500,2004-03-23,2004-03-31,-0.097412743080347766
NASDAQ,2004-03-30,2004-04-07,-0.012159038372630606
SP500,2004-03-30,2004-04-07,-0.05071767255251132
NASDAQ,2004-04-06,2004-04-14,0.10099986137104042
SP500,2004-04-06,2004-04-14,-0.089124362739997923
NASDAQ,2004-04-12,2004-04-20,0.16823470237555349
SP500,2004-04-12,2004-04-20,-0.07896569888261365
NASDAQ,2004-04-20,2004-04-28,0.12015233761390476
SP500,2004-04-20,2004-04-28,-0.066775469849188973
